"REGION","NAME","POPESTIMATE2020","POPESTIMATE2021","POPESTIMATE2022","POPESTIMATE2023","PCTPOPCHG"
"South","Alabama",5024803,5039877,5074296,5108468,1.66504040058884
"West","Alaska",732441,732673,733583,733406,0.131751226378643
"West","Arizona",7177986,7276316,7359197,7431344,3.52965302523577
"South","Arkansas",3012232,3025891,3045637,3067732,1.84248756403889
"West","California",39499738,39237836,39029342,38965193,-1.35328745724845
"West","Colorado",5784308,5812069,5839926,5877610,1.61301922373428
"Northeast","Connecticut",3600260,3605597,3626205,3617176,0.469854954919922
"South","Delaware",991886,1003384,1018396,1031890,4.03312477441964
"South","District of Columbia",690093,670050,671803,678972,-1.61152192530572
"South","Florida",21569932,21781128,22244823,22610726,4.82520760844309
"South","Georgia",10725800,10799566,10912876,11029227,2.82894516026777
"West","Hawaii",1451911,1441553,1440196,1435138,-1.15523609918239
"West","Idaho",1847772,1900923,1939033,1964726,6.32946056115148
"Midwest","Illinois",12785245,12671469,12582032,12549689,-1.842405053638
"Midwest","Indiana",6785644,6805985,6833037,6862199,1.12819063304824
"Midwest","Iowa",3188669,3193079,3200517,3207004,0.575004806080531
"Midwest","Kansas",2935880,2934582,2937150,2940546,0.158930201506874
"South","Kentucky",4503958,4509394,4512310,4526154,0.492810989800527
"South","Louisiana",4651203,4624047,4590241,4573749,-1.66524660394311
"Northeast","Maine",1362280,1372247,1385340,1395722,2.45485509586869
"South","Maryland",6172679,6165129,6164660,6180253,0.122701990497157
"Northeast","Massachusetts",7022220,6984723,6981974,7001399,-0.296501676108125
"Midwest","Michigan",10067664,10050811,10034113,10037261,-0.30198663761524
"Midwest","Minnesota",5707165,5707390,5717184,5737915,0.538796407673512
"South","Mississippi",2956870,2949965,2940057,2939690,-0.58101979458008
"Midwest","Missouri",6154481,6168187,6177957,6196156,0.677148893627261
"West","Montana",1086193,1104271,1122867,1132812,4.29196284638181
"Midwest","Nebraska",1961455,1963692,1967923,1978379,0.862828869385227
"West","Nevada",3114071,3143991,3177772,3194176,2.57235625006623
"Northeast","New Hampshire",1377848,1388992,1395231,1402054,1.75679755676969
"Northeast","New Jersey",9279743,9267130,9261699,9290841,0.119593829268763
"West","New Mexico",2117566,2115877,2113344,2114371,-0.150880775380791
"Northeast","New York",20154933,19835913,19677151,19571216,-2.89614954314162
"South","North Carolina",10457177,10551162,10698973,10835491,3.61774501856476
"Midwest","North Dakota",778962,774948,779261,783926,0.637258300148146
"Midwest","Ohio",11790587,11780017,11756058,11785935,-0.0394552026968632
"South","Oklahoma",3962031,3986639,4019800,4053824,2.31681680431072
"West","Oregon",4241544,4246155,4240137,4233358,-0.192995758148448
"Northeast","Pennsylvania",12989625,12964056,12972008,12961683,-0.215110135973902
"Northeast","Rhode Island",1096229,1095610,1093734,1095962,-0.0243562248398829
"South","South Carolina",5130729,5190705,5282634,5373555,4.73277773977148
"Midwest","South Dakota",887099,895376,909824,919318,3.63195088710505
"South","Tennessee",6920119,6975218,7051339,7126489,2.98217415047342
"South","Texas",29217653,29527941,30029572,30503301,4.40024392102952
"West","Utah",3281684,3337975,3380800,3417734,4.14573737142272
"Northeast","Vermont",642495,645570,647064,647464,0.773391232616596
"South","Virginia",8632044,8642274,8683619,8715698,0.969109981367101
"West","Washington",7718785,7738692,7785786,7812880,1.21903900678669
"South","West Virginia",1789798,1782959,1775156,1770071,-1.10219142048432
"Midwest","Wisconsin",5892323,5895908,5892539,5910955,0.316208055804137
"West","Wyoming",577267,578803,581381,584057,1.17623214214566
